Ring, Position, Color, Value
#    #    #    #
1 1 CFBlue 5
2 1 Blue 1
2 2 Red 6
2 3 Blue 1
2 4 Blue 1
2 5 Blue 1
2 6 Blue 1
3 1 Blue 1
3 2 Blue 1
3 3 Blue 1
3 4 Blue 1
3 5 Blue 1
3 6 Blue 1
3 7 Blue 1
3 8 Blue 1
3 9 Blue 1
3 10 Blue 1
3 11 Blue 1
3 12 Blue 1
4 1 Blue 1
4 2 Blue 1
4 3 Blue 1
4 4 Blue 1
4 5 Blue 1
4 6 Blue 1
4 7 Blue 1
4 8 Blue 1
4 9 Blue 1
4 10 Blue 1
4 11 Blue 1
4 12 Blue 1
4 13 Blue 1
4 14 Blue 1
4 15 Blue 1
4 16 Blue 1
4 17 Blue 1
4 18 Blue 1
5 1 Yellow 2
5 2 Yellow 2
5 3 Blue 1
5 4 Yellow 2
5 5 Yellow 2
5 6 Yellow 2
5 7 Blue 1
5 8 Yellow 2
5 9 Yellow 2
5 10 Yellow 2
5 11 Blue 1
5 12 Yellow 2
5 13 Yellow 2
5 14 Yellow 2
5 15 Blue 1
5 16 Yellow 2
5 17 Yellow 2
5 18 Yellow 2
5 19 Blue 1
5 20 Yellow 2
5 21 Yellow 2
5 22 Yellow 2
5 23 Blue 1
5 24 Yellow 2
6 1 CFBlue 5
6 2 Yellow 2
6 3 Yellow 2
6 4 Yellow 2
6 5 Yellow 2
6 6 CFBlue 5
6 7 Yellow 2
6 8 Yellow 2
6 9 Yellow 2
6 10 Yellow 2
6 11 CFBlue 5
6 12 Yellow 2
6 13 Yellow 2
6 14 Yellow 2
6 15 Yellow 2
6 16 CFBlue 5
6 17 Yellow 2
6 18 Yellow 2
6 19 Yellow 2
6 20 Yellow 2
6 21 CFBlue 5
6 22 Yellow 2
6 23 Yellow 2
6 24 Yellow 2
6 25 Yellow 2
6 26 CFBlue 5
6 27 Yellow 2
6 28 Yellow 2
6 29 Yellow 2
6 30 Yellow 2
7 1 Yellow 2
7 2 Yellow 2
7 3 Yellow 2
7 4 CFBlue 5
7 5 Yellow 2
7 6 Yellow 2
7 7 Yellow 2
7 8 Yellow 2
7 9 Orange 7
7 10 CFBlue 5
7 11 Yellow 2
7 12 Yellow 2
7 13 Yellow 2
7 14 Yellow 2
7 15 Yellow 2
7 16 CFBlue 5
7 17 Yellow 2
7 18 Yellow 2
7 19 Yellow 2
7 20 Yellow 2
7 21 Yellow 2
7 22 CFBlue 5
7 23 Yellow 2
7 24 Yellow 2
7 25 Yellow 2
7 26 Yellow 2
7 27 Yellow 2
7 28 CFBlue 5
7 29 Yellow 2
7 30 Yellow 2
7 31 Yellow 2
7 32 Yellow 2
7 33 Yellow 2
7 34 CFBlue 5
7 35 Yellow 2
7 36 Yellow 2
8 1 DarkGray 3
8 2 DarkGray 3
8 3 DarkGray 3
8 4 Yellow 2
8 5 Yellow 2
8 6 DarkGray 3
8 7 DarkGray 3
8 8 DarkGray 3
8 9 DarkGray 3
8 10 DarkGray 3
8 11 Yellow 2
8 12 Yellow 2
8 13 DarkGray 3
8 14 DarkGray 3
8 15 DarkGray 3
8 16 DarkGray 3
8 17 DarkGray 3
8 18 Yellow 2
8 19 Yellow 2
8 20 DarkGray 3
8 21 DarkGray 3
8 22 DarkGray 3
8 23 DarkGray 3
8 24 DarkGray 3
8 25 Yellow 2
8 26 Yellow 2
8 27 DarkGray 3
8 28 DarkGray 3
8 29 DarkGray 3
8 30 DarkGray 3
8 31 DarkGray 3
8 32 Yellow 2
8 33 Yellow 2
8 34 DarkGray 3
8 35 DarkGray 3
8 36 DarkGray 3
8 37 DarkGray 3
8 38 DarkGray 3
8 39 Yellow 2
8 40 Yellow 2
8 41 DarkGray 3
8 42 DarkGray 3
9 1 CFBlue 5
9 2 DarkGray 3
9 3 DarkGray 3
9 4 DarkGray 3
9 5 DarkGray 3
9 6 DarkGray 3
9 7 DarkGray 3
9 8 DarkGray 3
9 9 CFBlue 5
9 10 DarkGray 3
9 11 DarkGray 3
9 12 DarkGray 3
9 13 DarkGray 3
9 14 DarkGray 3
9 15 DarkGray 3
9 16 DarkGray 3
9 17 CFBlue 5
9 18 DarkGray 3
9 19 DarkGray 3
9 20 DarkGray 3
9 21 DarkGray 3
9 22 DarkGray 3
9 23 DarkGray 3
9 24 DarkGray 3
9 25 CFBlue 5
9 26 DarkGray 3
9 27 DarkGray 3
9 28 DarkGray 3
9 29 DarkGray 3
9 30 DarkGray 3
9 31 DarkGray 3
9 32 DarkGray 3
9 33 CFBlue 5
9 34 DarkGray 3
9 35 DarkGray 3
9 36 DarkGray 3
9 37 DarkGray 3
9 38 DarkGray 3
9 39 DarkGray 3
9 40 DarkGray 3
9 41 CFBlue 5
9 42 DarkGray 3
9 43 DarkGray 3
9 44 DarkGray 3
9 45 DarkGray 3
9 46 DarkGray 3
9 47 DarkGray 3
9 48 DarkGray 3
10 1 DarkGray 3
10 2 DarkGray 3
10 3 DarkGray 3
10 4 DarkGray 3
10 5 DarkGray 3
10 6 DarkGray 3
10 7 DarkGray 3
10 8 DarkGray 3
10 9 DarkGray 3
10 10 DarkGray 3
10 11 DarkGray 3
10 12 DarkGray 3
10 13 DarkGray 3
10 14 DarkGray 3
10 15 DarkGray 3
10 16 DarkGray 3
10 17 DarkGray 3
10 18 DarkGray 3
10 19 DarkGray 3
10 20 DarkGray 3
10 21 DarkGray 3
10 22 DarkGray 3
10 23 DarkGray 3
10 24 DarkGray 3
10 25 DarkGray 3
10 26 DarkGray 3
10 27 DarkGray 3
10 28 DarkGray 3
10 29 DarkGray 3
10 30 DarkGray 3
10 31 DarkGray 3
10 32 DarkGray 3
10 33 DarkGray 3
10 34 DarkGray 3
10 35 DarkGray 3
10 36 DarkGray 3
10 37 DarkGray 3
10 38 DarkGray 3
10 39 DarkGray 3
10 40 DarkGray 3
10 41 DarkGray 3
10 42 DarkGray 3
10 43 DarkGray 3
10 44 DarkGray 3
10 45 DarkGray 3
10 46 DarkGray 3
10 47 DarkGray 3
10 48 DarkGray 3
10 49 DarkGray 3
10 50 DarkGray 3
10 51 DarkGray 3
10 52 DarkGray 3
10 53 DarkGray 3
10 54 DarkGray 3
11 1 LightGray 4
11 2 LightGray 4
11 3 LightGray 4
11 4 LightGray 4
11 5 LightGray 4
11 6 LightGray 4
11 7 LightGray 4
11 8 LightGray 4
11 9 LightGray 4
11 10 LightGray 4
11 11 LightGray 4
11 12 LightGray 4
11 13 LightGray 4
11 14 LightGray 4
11 15 LightGray 4
11 16 LightGray 4
11 17 LightGray 4
11 18 LightGray 4
11 19 LightGray 4
11 20 LightGray 4
11 21 LightGray 4
11 22 LightGray 4
11 23 LightGray 4
11 24 LightGray 4
11 25 LightGray 4
11 26 LightGray 4
11 27 LightGray 4
11 28 LightGray 4
11 29 LightGray 4
11 30 LightGray 4
11 31 LightGray 4
11 32 LightGray 4
11 33 LightGray 4
11 34 LightGray 4
11 35 LightGray 4
11 36 LightGray 4
11 37 LightGray 4
11 38 LightGray 4
11 39 LightGray 4
11 40 LightGray 4
11 41 LightGray 4
11 42 LightGray 4
11 43 LightGray 4
11 44 LightGray 4
11 45 LightGray 4
11 46 LightGray 4
11 47 LightGray 4
11 48 LightGray 4
11 49 LightGray 4
11 50 LightGray 4
11 51 LightGray 4
11 52 LightGray 4
11 53 LightGray 4
11 54 LightGray 4
11 55 LightGray 4
11 56 LightGray 4
11 57 LightGray 4
11 58 LightGray 4
11 59 LightGray 4
11 60 LightGray 4
12 1 LightGray 4
12 2 LightGray 4
12 3 LightGray 4
12 4 LightGray 4
12 5 LightGray 4
12 6 LightGray 4
12 7 LightGray 4
12 8 LightGray 4
12 9 LightGray 4
12 10 LightGray 4
12 11 LightGray 4
12 12 LightGray 4
12 13 LightGray 4
12 14 LightGray 4
12 15 LightGray 4
12 16 LightGray 4
12 17 LightGray 4
12 18 LightGray 4
12 19 LightGray 4
12 20 LightGray 4
12 21 LightGray 4
12 22 LightGray 4
12 23 LightGray 4
12 24 LightGray 4
12 25 LightGray 4
12 26 LightGray 4
12 27 LightGray 4
12 28 LightGray 4
12 29 LightGray 4
12 30 LightGray 4
12 31 LightGray 4
12 32 LightGray 4
12 33 LightGray 4
12 34 LightGray 4
12 35 LightGray 4
12 36 LightGray 4
12 37 LightGray 4
12 38 LightGray 4
12 39 LightGray 4
12 40 LightGray 4
12 41 LightGray 4
12 42 LightGray 4
12 43 LightGray 4
12 44 LightGray 4
